timestamp,target,MAE,RMSE,R2,train_rows,test_rows,model_path
20260614_0936,pm2_5,1.0407713662253486,1.8075287712712553,0.9388647811894002,447,80,models/xgb_pm2_5_20260614_0936.pkl
20260614_0936,pm10,6.181054713990954,17.222146618103213,0.6866459730326449,447,80,models/xgb_pm10_20260614_0936.pkl
20260615_1216,pm2_5,1.0983065989282395,1.809996113403415,0.9380045338939669,448,80,models/xgb_pm2_5_20260615_1216.pkl
20260615_1216,pm10,5.861565729247199,16.871372845726867,0.6953192112952262,448,80,models/xgb_pm10_20260615_1216.pkl
20260616_1112,pm2_5,0.9475466945436267,1.6362832737686033,0.9462362222201046,449,80,models/xgb_pm2_5_20260616_1112.pkl
20260616_1112,pm10,5.885008104112413,16.933971218161275,0.6873214614378869,449,80,models/xgb_pm10_20260616_1112.pkl
20260617_1058,pm2_5,0.9122159738010833,1.4195478408065985,0.9592675084686174,450,80,models/xgb_pm2_5_20260617_1058.pkl
20260617_1058,pm10,6.185504550404019,17.130489415461653,0.6799801213376531,450,80,models/xgb_pm10_20260617_1058.pkl
20260618_1022,pm2_5,0.9153377543555367,1.4129543722586666,0.9594299346107273,451,80,models/xgb_pm2_5_20260618_1022.pkl
20260618_1022,pm10,6.189133341577319,16.966230803449857,0.6849849861886904,451,80,models/xgb_pm10_20260618_1022.pkl
20260619_1027,pm2_5,0.9054456777042812,1.398453119869846,0.9602828471326413,452,80,models/xgb_pm2_5_20260619_1027.pkl
20260619_1027,pm10,6.384432251718309,17.105526749767996,0.6793066930835346,452,80,models/xgb_pm10_20260619_1027.pkl
20260620_0858,pm2_5,0.9519849962658352,1.4592534474428311,0.9566869529850868,453,80,models/xgb_pm2_5_20260620_0858.pkl
20260620_0858,pm10,6.124647707939148,16.861551543432732,0.6866480559767201,453,80,models/xgb_pm10_20260620_0858.pkl
20260621_0952,pm2_5,0.9436054554168744,1.4505354958523302,0.9570631489868808,453,81,models/xgb_pm2_5_20260621_0952.pkl
20260621_0952,pm10,6.063656426260991,16.75766135098154,0.6874785332140684,453,81,models/xgb_pm10_20260621_0952.pkl
20260622_1156,pm2_5,0.9075768281075853,1.4096733179231646,0.9594728449122188,454,81,models/xgb_pm2_5_20260622_1156.pkl
20260622_1156,pm10,6.086030091964659,16.889747687089258,0.6828135271914433,454,81,models/xgb_pm10_20260622_1156.pkl
20260623_0940,pm2_5,0.8371030535390508,1.3210054911278752,0.963641848765003,455,81,models/xgb_pm2_5_20260623_0940.pkl
20260623_0940,pm10,5.824813778410233,16.992288961897017,0.6738073485414329,455,81,models/xgb_pm10_20260623_0940.pkl
20260624_0931,pm2_5,0.8799644786798088,1.3565393304032654,0.9610201375901348,456,81,models/xgb_pm2_5_20260624_0931.pkl
20260624_0931,pm10,6.194152305613493,17.336394454522637,0.655409956532842,456,81,models/xgb_pm10_20260624_0931.pkl
20260625_0923,pm2_5,0.8657986796605407,1.3789056412248004,0.9598029037828683,457,81,models/xgb_pm2_5_20260625_0923.pkl
20260625_0923,pm10,5.918832604679061,16.910393627553532,0.668943073449733,457,81,models/xgb_pm10_20260625_0923.pkl
20260626_0928,pm2_5,0.8516188518173574,1.380790306225024,0.9597423720192554,458,81,models/xgb_pm2_5_20260626_0928.pkl
20260626_0928,pm10,6.032583515601558,16.87901280460775,0.6700417793900397,458,81,models/xgb_pm10_20260626_0928.pkl
20260627_0837,pm2_5,0.875331994306567,1.4106450918542692,0.9583616026111398,459,81,models/xgb_pm2_5_20260627_0837.pkl
20260627_0837,pm10,5.7367644724695435,16.49949769871643,0.6859294771670322,459,81,models/xgb_pm10_20260627_0837.pkl
20260628_0853,pm2_5,0.8719592236567967,1.4035755945820567,0.9583922209688943,459,82,models/xgb_pm2_5_20260628_0853.pkl
20260628_0853,pm10,5.693107675795309,16.400312168927698,0.6864817465379722,459,82,models/xgb_pm10_20260628_0853.pkl
20260629_1101,pm2_5,0.8375643197760027,1.3662489222647325,0.9603122961651346,460,82,models/xgb_pm2_5_20260629_1101.pkl
20260629_1101,pm10,5.773427140357372,16.769779751083416,0.6728162118692864,460,82,models/xgb_pm10_20260629_1101.pkl
